date,psr,m2,ccpi,dspic,ir,ffer,sp500_close,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0,sp500_ema_7,sp500_ema_22,sp500_ema_50,sp500_ema_252
2015-11-20,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2089.17,0.0038102285176147,3.151406885200624,0.7703035976844119,2073.571390332451,2063.8994691885023,2043.711136300349,2030.6204981484627
2015-11-21,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-22,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-23,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2086.59,-0.0012349401915593416,2.721360933842633,0.6482793029039422,2076.8260427493383,2065.8725588242846,2045.392660367002,2031.0629448034158
2015-11-24,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2089.14,0.0012220896294909966,0.5987996919008431,0.7558718784194172,2079.9045320620035,2067.8958145786946,2047.1082423133942,2031.52205195912
2015-11-25,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2088.87,-0.0001292397828771552,0.5821688111356117,0.6537464411147285,2082.1458990465026,2069.7196567892433,2048.745958301104,2031.9753954218938
2015-11-26,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-27,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2090.11,0.0005936223891387371,0.22422187508589644,0.7848301644930397,2084.136924284877,2071.492730111918,2050.3680775834137,2032.4349575134206
2015-11-28,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-29,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-30,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2080.41,-0.004640904067250151,0.6713148101975279,0.027925525038791737,2083.2051932136574,2072.2681448847948,2051.546192187986,2032.8142068611407
2015-12-01,7.4,12419.675,244.547,13482.0,2.2427272730000003,0.24064516100000002,2102.63,0.010680586999677999,1.3619165292594895,0.9355185413473408,2088.061394910243,2074.9083061991605,2053.5494787688494,2033.3661103642148
2015-12-02,7.4,12419.675,244.547,13482.0,2.2427272730000003,0.24064516100000002,2079.51,-0.010995752937987158,1.5990461869714547,0.23659132345593695,2085.9235461826825,2075.30845348619,2054.567538424973,2033.7308841953277
